Artista;Count;Género
Adele;4;Pop
Ainda;3;Indie Rock
Al Green;1;Soul
Alan Sutton ;1;Alternativa
Alanis Morissette;1;Pop
Alannah Myles;1;Rock
Amy Winehouse;81;R&B/Soul
Aretha Franklin;2;R&B/Soul
Arctic Monkeys;1;Alternativa
Bacilos;2;pop
Barry Gibb;1;
Ben Pellow;1;
Bill Medley;1;
Bill Withers;1;
Billie Eilish;129;Pop
Billy Joel;1;
Blood, Sweat & Tears;2;
Bryan Ferry;2;
Candy Dulfer;1;
Carlos Buate;2;
Christina Aguilera;1;
Coldplay;1;
Dire Straits;3;Rock
Duff McKagan;3;Punk Rock
Duffy;1;
Dusty Springfield;1;
Edith Whiskers;1;
El cuarteto de Nos;3;Rock en español
El Kanka;27;Alternativa
El Kuelgue;1;
Emmanuel Horvilleur;1;
Espen Lind;1;
Free;1;
Fugees;1;
George Harrison;1;
Glenn Frey;1;
Gnals Barkley;1;
Guns N' Roses;56;Rock
Gustavo Cerati;67;Rock
INXS;1;
J.J. Cale;2;
Jamiroquai;1;
Janis Joplin;2;
Jersey Demic;1;
Jimmy Page;1;
Joe Cocker;57;Pop
John Hiatt;1;
John Lennon;2;
John Mayall;3;Blues
Jorge Dexler;4;Rock en español
Jósean Log;2;
Joshu;1;
Joy Crookes;1;
Keane;4;Pop
Keith Richards;2;
KT Tunstall;3;Pop
La Franela;1;
La Vela Puerca;1;
Las Migas;1;
Lauri Garcia;1;
Lenny Kravitz;2;
Leon Rusell;1;
Lily Allen;2;
Los abuelos de la nada;2;
Louise Smith;1;
LOUTA;2;
Luis Alberto Spinetta;1;
Madeleine Peyroux;1;
Maneskin;1;
Mark Ronson;1;
Michael Bublé;1;
Mick Jagger;11;Rock
Mon Laferte;1;
Muerdo;6;Alternativa
No Doubt;1;
Norah Jones;1;
Novo Amor;1;
Olivia Dean;1;
Oscar Anton;1;
Paloma Faith;1;
Patrick Watson;2;
Pretenders;1;
R.E.M.;1;
Radiohead;3;Rock
Ray Charles;1;
Rihanna;1;
Robert Palmer;1;
Rory Gallagher;1;
Roy Orbison;1;
Sam Brown;1;
Sam Smith;2;
Seafret;2;
Selah Sue;1;
Sharon Jones & The Dap-Kings;1;
Simon Grossmann;2;
Simply Red;1;
Stevie Ray Vaughan;1;
Supertramp;3;Rock
SYML;1;
Tan Bionica;6;Pop
The Alan Parson Project;1;
The Bangles;1;
The Blue Brothers;2;
The Cardigans;1;
The Cars;1;
The Commitments;3;Soul
The Cure;1;
The Police;1;
Tom Odell;2;
Tom Rosenthal;1;
Tomme Profitt;1;
Tony Bennett;1;
Virginio Aiello;1;
Whitesnake;1;
Winter Aid;1;
Yuruf / Cat Stevens;2;
ZZ Top;1;
