fecha,iniciosueno,minini,finsueno,minfin,canthoras,calorias,pasos,km,rcardmin,rcardmax,rcardprom
2022-11-01,03:39,219,11:22,682,7.72,52,2407,1.48,44,120,73
2022-11-02,02:27,147,11:41,701,9.23,72,3603,2.36,47,126,78
2022-11-03,00:23,23,06:20,380,5.95,56,2279,1.43,52,127,75
2022-11-04,00:12,12,07:21,441,7.15,121,6395,4.33,52,128,78
2022-11-05,01:05,65,08:50,530,7.75,134,6559,4.18,54,137,76
2022-11-06,00:39,39,08:55,535,8.27,56,2541,1.53,53,121,74
2022-11-07,00:14,14,01:45,105,1.52,110,5783,3.7,45,120,76
2022-11-07,04:02,242,04:29,269,0.45,,,,,,
2022-11-07,05:58,358,09:31,571,3.55,,,,,,
2022-11-08,00:36,36,07:15,435,6.65,53,2591,1.57,43,127,76
2022-11-08,01:56,116,03:29,209,1.55,,,,,,
2022-11-08,03:39,219,08:35,515,4.93,,,,,,
2022-11-08,09:21,561,10:10,610,0.82,,,,,,
2022-11-09,01:04,64,10:57,657,9.88,80,3337,2.07,47,120,74
2022-11-10,00:05,5,08:58,538,8.88,74,3250,1.96,45,128,77
2022-11-11,00:25,25,06:30,390,6.08,109,5567,3.58,46,138,76
2022-11-11,23:02,1382,23:59,1440,1.45,110,6527,4.12,50,119,74
2022-11-12,00:00,0,00:29,29,,,,,,,
2022-11-12,01:09,69,06:47,407,5.63,,,,,,
2022-11-12,23:11,1391,23:59,1440,1.93,47,1911,1.13,47,118,74
2022-11-13,00:00,0,01:07,67,,,,,,,
2022-11-13,01:18,78,04:57,297,3.65,,,,,,
2022-11-13,05:08,308,07:17,437,2.15,,,,,,
2022-11-13,23:22,1402,23:59,1440,3.33,78,4219,2.66,45,125,72
2022-11-14,00:00,0,02:42,162,,,,,,,
2022-11-14,02:52,172,04:46,286,1.9,,,,,,
2022-11-14,05:02,302,07:50,470,2.8,,,,,,
2022-11-15,01:13,73,09:57,597,8.73,57,2571,1.63,48,124,75
