Fecha,calorías,Pasos,km,rcardmin,rcardmax,rcardprom
01/11/2022,52,2407,1.48,44,120,73
02/11/2022,72,3603,2.36,47,126,78
03/11/2022,56,2279,1.43,52,127,75
04/11/2022,121,6395,4.33,52,128,78
05/11/2022,134,6559,4.18,54,137,76
06/11/2022,56,2541,1.53,53,121,74
07/11/2022,110,5783,3.7,45,120,76
07/11/2022,,,,,,,
07/11/2022,,,,,,,
08/11/2022,53,2591,1.57,43,127,76
08/11/2022,,,,,,
08/11/2022,,,,,,
08/11/2022,,,,,,
09/11/2022,80,3337,2.07,47,120,74
10/11/2022,74,3250,1.96,45,128,77
11/11/2022,109,5567,3.58,46,138,76
12/11/2022,110,6527,4.12,50,119,74
12/11/2022,,,,,,
13/11/2022,47,1911,1.13,47,118,74
13/11/2022,,,,,,
13/11/2022,,,,,,
14/11/2022,78,4219,2.66,45,125,72
14/11/2022,,,,,,
14/11/2022,,,,,,
15/11/2022,57,2571,1.63,48,124,75
